Stasjon            Dato       Dyp Temperatur Salt        Kalibrert_temperatur Kalibrert_salt
Ingoy              21.10.1941 125 6.77       34.68       6.77                 34.68         
Ingoy              13.11.1941 125 5.78       34.48       5.78                 34.48         
Ingoy              24.11.1941 125 6.24       34.78       6.24                 34.78         
Ingoy              08.12.1941 125 5.68       34.76       5.68                 34.76         
Ingoy              18.12.1941 125 5.37                   5.37                               
Ingoy              06.01.1942 125 4.36       34.41       4.36                 34.41         
Ingoy              13.01.1942 125 4.85       34.58       4.85                 34.58         
Ingoy              20.01.1942 125 5.19       34.91       5.19                 34.91         
Ingoy              29.01.1942 125 4.99                   4.99                               
Ingoy              03.03.1942 125 4.4        34.73       4.4                  34.73         
Ingoy              19.03.1942 125 3.81       34.74       3.81                 34.74         
Ingoy              22.04.1942 125 3.95       34.92       3.95                 34.92         
Ingoy              13.05.1942 125 3.91       34.92       3.91                 34.92         
Ingoy              21.05.1942 125 3.98       34.77       3.98                 34.77         
Ingoy              02.06.1942 125 4.23       34.86       4.23                 34.86         
Ingoy              16.06.1942 125 4.09       34.68       4.09                 34.68         
Ingoy              26.06.1942 125 4.55       34.73       4.55                 34.73         
Ingoy              22.07.1942 125 4.99       34.73       4.99                 34.73         
Ingoy              13.08.1942 125 6.01       34.8        6.01                 34.8          
Ingoy              08.09.1942 125 7.45                   7.45                               
Ingoy              22.09.1942 125 6.67                   6.67                               
Ingoy              01.10.1942 125 7.91       34.47       7.91                 34.47         
Ingoy              19.10.1942 125 7.33                   7.33                               
Ingoy              02.11.1942 125 6.52       34.31       6.52                 34.31         
Ingoy              05.12.1942 125 5.66       34.23       5.66                 34.23         
Ingoy              15.12.1942 125 5.52       34.31       5.52                 34.31         
Ingoy              21.12.1942 125 6.05       34.7        6.05                 34.7          
Ingoy              11.01.1943 125 6.03       34.52       6.03                 34.52         
Ingoy              18.01.1943 125 5.57       34.63       5.57                 34.63         
Ingoy              23.01.1943 125 4.4        34.56       4.4                  34.56         
Ingoy              29.01.1943 125 4.8        34.32       4.8                  34.32         
Ingoy              05.02.1943 125 5.1        34.47       5.1                  34.47         
Ingoy              15.02.1943 125 4.92       34.67       4.92                 34.67         
Ingoy              27.02.1943 125 4.72       34.72       4.72                 34.72         
Ingoy              04.03.1943 125 3.53       34.32       3.53                 34.32         
Ingoy              13.03.1943 125 3.38       34.37       3.38                 34.37         
